"author","title","original_publication","sentence_amount"
"Plato","Plato - Complete Works",-350,38366
"Aristotle","Aristotle - Complete Works",-320,48779
"Epictetus","Enchiridion",125,323
"Marcus Aurelius","Meditations",170,2212
"Descartes","Discourse On Method",1637,340
"Descartes","Meditations On First Philosophy",1641,792
"Malebranche","The Search After Truth",1674,12997
"Spinoza","Ethics",1677,3304
"Spinoza","On The Improvement Of Understanding",1677,489
"Locke","Essay Concerning Human Understanding",1689,7742
"Locke","Second Treatise On Government",1689,1143
"Berkeley","A Treatise Concerning The Principles Of Human Knowledge",1710,1040
"Leibniz","Theodicy",1710,5027
"Berkeley","Three Dialogues",1713,1694
"Hume","A Treatise Of Human Nature",1739,7047
"Smith","The Wealth Of Nations",1776,11693
"Hume","Dialogues Concerning Natural Religion",1779,1265
"Kant","Critique Of Pure Reason",1781,7472
"Kant","Critique Of Practical Reason",1788,2452
"Kant","Critique Of Judgement",1790,4204
"Wollstonecraft","Vindication Of The Rights Of Woman",1792,2559
"Fichte","The System Of Ethics",1798,5308
"Hegel","The Phenomenology Of Spirit",1807,7099
"Hegel","Science Of Logic",1817,10678
"Ricardo","On The Principles Of Political Economy And Taxation",1817,3090
"Hegel","Elements Of The Philosophy Of Right",1820,4923
"Marx","The Communist Manifesto",1848,493
"Lenin","Essential Works Of Lenin",1862,4469
"Marx","Capital",1883,12996
"Nietzsche","Beyond Good And Evil",1886,1906
"Nietzsche","Thus Spake Zarathustra",1887,5916
"Nietzsche","Ecce Homo",1888,1504
"Nietzsche","The Antichrist",1888,1170
"Nietzsche","Twilight Of The Idols",1888,3052
"Husserl","The Idea Of Phenomenology",1907,910
"Moore","Philosophical Studies",1910,3668
"Russell","The Problems Of Philosophy",1912,1560
"Russell","The Analysis Of Mind",1921,3513
"Wittgenstein","Tractatus Logico-Philosophicus",1921,1212
"Heidegger","Being And Time",1927,8505
"Husserl","The Crisis Of The European Sciences And Phenomenology",1936,4832
"Keynes","A General Theory Of Employment, Interest, And Money",1936,3411
"Merleau-Ponty","The Phenomenology Of Perception",1945,7592
"Beauvoir","The Second Sex",1949,13017
"Heidegger","Off The Beaten Track",1950,6734
"Quine","Quintessence",1950,7373
"Wittgenstein","On Certainty",1950,1984
"Wittgenstein","Philosophical Investigations",1953,5838
"Popper","The Logic Of Scientific Discovery",1959,4678
"Foucault","History Of Madness",1961,8033
"Foucault","The Birth Of The Clinic",1963,2518
"Foucault","The Order Of Things",1966,4689
"Derrida","Writing And Difference",1967,5999
"Deleuze","Difference And Repetition",1968,5861
"Deleuze","Anti-Oedipus",1972,6679
"Kripke","Naming And Necessity",1972,2681
"Kripke","Philosophical Troubles",1975,9798
"Davis","Women, Race, And Class",1981,3059
"Lewis","Lewis - Papers",1985,13120
